tool	ground_truth_percentile	TPR_annotated	TPR_unannotated	TPR_all	FDR_all	F1_all
ESPRESSO	63	0.9309090909090909	0.48520710059171596	0.8551307847082495	0.024110218140068886	0.9115281501340483
ESPRESSO	66	0.9495192307692307	0.5093167701863354	0.878147029204431	0.016910935738444193	0.9276595744680851
ESPRESSO	69	0.9538274605103281	0.5847953216374269	0.8903420523138833	0.018847006651884702	0.9335443037974683
ESPRESSO	72	0.9634002361275088	0.6530612244897959	0.9175050301810865	0.016181229773462782	0.9495054659031754
ESPRESSO	75	0.9723889555822329	0.70625	0.9295065458207452	0.006458557588805167	0.9604578563995838
ESPRESSO	78	0.9714964370546318	0.7894736842105263	0.9436619718309859	0.010548523206751054	0.9660144181256437
ESPRESSO	81	0.9742990654205608	0.7956204379562044	0.9496475327291037	0.013598326359832637	0.9676757311441765
ESPRESSO	84	0.9871194379391101	0.7642857142857142	0.9557344064386318	0.0073145245559038665	0.97385955920041
ESPRESSO	87	0.9881516587677726	0.8133333333333334	0.9617706237424547	0.00932642487046632	0.9760081674323634
ESPRESSO	90	0.9930955120828538	0.8387096774193549	0.973816717019134	0.003092783505154639	0.9852266938359654
ESPRESSO	93	0.9954597048808173	0.8053097345132744	0.9738430583501007	0.0071794871794871795	0.9832402234636871
ESPRESSO	99	0.9976553341148886	0.8936170212765957	0.9828973843058351	0.0020429009193054137	0.9903699949315763
ESPRESSO + StringTie2	0	0.315989847715736	0.0048543689320388345	0.2515090543259557	0.0196078431372549	0.400320256204964
ESPRESSO + StringTie2	3	0.32114882506527415	0.0043859649122807015	0.24849094567404426	0.01984126984126984	0.39646869983948635
ESPRESSO + StringTie2	6	0.30541237113402064	0.0	0.23867069486404835	0.02066115702479339	0.3838056680161943
ESPRESSO + StringTie2	9	0.3946308724832215	0.012048192771084338	0.2987927565392354	0.2037533512064343	0.43452816386247256
ESPRESSO + StringTie2	12	0.4494535519125683	0.003816793893129771	0.3319919517102616	0.18719211822660098	0.4714285714285714
ESPRESSO + StringTie2	15	0.5515873015873016	0.012658227848101266	0.4229607250755287	0.1907514450867052	0.5555555555555556
ESPRESSO + StringTie2	18	0.581913499344692	0.03463203463203463	0.45472837022132795	0.2662337662337662	0.5614906832298137
ESPRESSO + StringTie2	21	0.6147757255936676	0.029787234042553193	0.47633434038267874	0.12244897959183673	0.6174934725848564
ESPRESSO + StringTie2	24	0.6474622770919067	0.04150943396226415	0.4859154929577465	0.10720887245841035	0.6293159609120521
ESPRESSO + StringTie2	27	0.7144808743169399	0.08396946564885496	0.5482897384305835	0.11092985318107668	0.6782825140012445
ESPRESSO + StringTie2	30	0.7333333333333333	0.10465116279069768	0.5699899295065458	0.08116883116883117	0.7035425730267246
ESPRESSO + StringTie2	33	0.7699346405228759	0.13973799126637554	0.6247484909456741	0.14697802197802198	0.7212543554006968
ESPRESSO + StringTie2	36	0.7866492146596858	0.1965065502183406	0.6505538771399798	0.08885754583921016	0.7591069330199764
ESPRESSO + StringTie2	39	0.8203753351206434	0.23790322580645162	0.6750503018108652	0.09446693657219973	0.7734870317002882
ESPRESSO + StringTie2	42	0.7948387096774193	0.3424657534246575	0.6951710261569416	0.07620320855614973	0.7933409873708381
ESPRESSO + StringTie2	45	0.8645569620253165	0.3694581280788177	0.7633434038267876	0.07221542227662178	0.8375690607734807
ESPRESSO + StringTie2	48	0.879245283018868	0.4472361809045226	0.7927565392354124	0.04600484261501211	0.865934065934066
ESPRESSO + StringTie2	51	0.8714285714285714	0.5067264573991032	0.7895266868076536	0.054282267792521106	0.8605927552140505
ESPRESSO + StringTie2	54	0.8875305623471883	0.5625	0.829979879275654	0.04734411085450346	0.8870967741935484
ESPRESSO + StringTie2	57	0.9389788293897883	0.5863874345549738	0.8712273641851107	0.03670745272525028	0.9149498151082938
ESPRESSO + StringTie2	60	0.9230769230769231	0.65	0.8680765357502518	0.041156840934371525	0.9112050739957717
ESPRESSO + StringTie2	63	0.9309090909090909	0.6686390532544378	0.886317907444668	0.025442477876106196	0.928345626975764
