tool	downsample_percentage	ground_truth_percentile	median_rel_diff_annotated	median_rel_diff_all	mean_rel_diff_annotated	mean_rel_diff_all
Bambu	30	48	0.3831609435729492	0.7056456485592844	0.5431923912369856	0.9701768408922042
Bambu	30	51	0.3651455859519278	0.6824413544655007	0.5447783503746734	0.9660228787043332
Bambu	30	54	0.3209625123980923	0.55195459602819	0.5015981761113055	0.9092350605204219
Bambu	30	57	0.35213619308861177	0.555097313347952	0.4858591998994689	0.8716986140025734
Bambu	30	60	0.2581832071083849	0.483146520747919	0.42395679724881075	0.8735282093436586
Bambu	30	63	0.2323237072541847	0.44707877510735516	0.41643819918401836	0.815706956019118
Bambu	30	66	0.23112644352228343	0.3843145650109532	0.39276962164903406	0.7849519075921116
Bambu	30	69	0.19589186540927248	0.29671406616876256	0.37448686697619715	0.740625802370944
Bambu	30	72	0.18158250109812726	0.2737485292542621	0.3409445995425279	0.6678390466634662
Bambu	30	75	0.1716168094441566	0.2577204641458477	0.3173935995372454	0.6717828878659814
Bambu	30	78	0.16301356135164624	0.2144892333407437	0.29373125379585385	0.6025292770630813
Bambu	30	81	0.14637275940369138	0.1997934952533852	0.26017012317162175	0.6122578132005002
Bambu	30	84	0.13157010681668435	0.16095843466331627	0.2321700981683528	0.5415160402583927
Bambu	30	87	0.11802709623121416	0.13903990215695605	0.23919557208774525	0.49487722575603205
Bambu	30	90	0.11641720643841186	0.134439500659616	0.20756731704144518	0.476214808832793
Bambu	30	93	0.105257425603617	0.11987187981851888	0.1871830350840639	0.4351217010470974
Bambu	30	99	0.10133916086506886	0.11099922164802906	0.17339511626670484	0.38349169322240406
ESPRESSO	10	0	2.0	2.0	1.5416967691840684	1.5881966428624477
ESPRESSO	10	3	2.0	2.0	1.5513865211405256	1.5989089339196572
ESPRESSO	10	6	2.0	2.0	1.5656863984035336	1.6103892692527406
ESPRESSO	10	9	2.0	2.0	1.4330503425031222	1.4901021334277322
ESPRESSO	10	12	2.0	2.0	1.324766809921355	1.3981984702797683
ESPRESSO	10	15	1.1864975678431502	2.0	1.2159024633027222	1.3101688068078692
ESPRESSO	10	18	1.0683218044375582	1.357190218332308	1.1599071929642641	1.2555115762305973
ESPRESSO	10	21	0.8923780005705192	1.1987504879099946	1.1065620357012536	1.197275629796151
ESPRESSO	10	24	0.8771332990109003	1.1159436514376067	1.071082909859191	1.1715486419448506
ESPRESSO	10	27	0.6479658940696421	0.8144444848798685	0.9433414878353448	1.0639418563980099
ESPRESSO	10	30	0.6235791110600468	0.7522474399728344	0.9061618037293014	1.0316705038859406
ESPRESSO	10	33	0.5426447125280901	0.6553930681446263	0.830424648202248	0.9659660324173173
ESPRESSO	10	36	0.4814189255017347	0.5766572994635963	0.798563564627419	0.906081108276242
ESPRESSO	10	39	0.48919383623346935	0.5464863599720409	0.7629372427398187	0.8695425192693307
ESPRESSO	10	42	0.47699716901440614	0.5754229834281522	0.7614104121325451	0.8679193283661821
ESPRESSO	10	45	0.4553071151300818	0.5239583728476073	0.6979166599605359	0.8084607404368662
ESPRESSO	10	48	0.447576960549804	0.4933194445917458	0.6930438615618676	0.7824385169035969
ESPRESSO	10	51	0.4092754467899441	0.46296517628848444	0.6677745873777793	0.7533487537418015
ESPRESSO	10	54	0.377565279892634	0.43109054933732854	0.615320502373722	0.7000105785746193
ESPRESSO	10	57	0.36642172815615126	0.39265460652854756	0.545368580832777	0.6184771354680941
ESPRESSO	10	60	0.327299368278855	0.3507342441354212	0.5529747193435566	0.6278816979849804
ESPRESSO	10	63	0.3303532816096646	0.3575800208956342	0.5480121307798486	0.6107901084974885
ESPRESSO	10	66	0.31670374478351737	0.34756657317979084	0.5215474740827976	0.582189049805598
ESPRESSO	10	69	0.28712723868314116	0.30602113139900655	0.47679970868587557	0.5191759169491087
ESPRESSO	10	72	0.2794037676687803	0.30062202078153044	0.4481872450509405	0.5115147380891316
ESPRESSO	10	75	0.2706253018737207	0.27551082824419365	0.4459833039857395	0.47586558922833555
ESPRESSO	10	78	0.24806766194227925	0.2593378576500329	0.42036111238375684	0.4586273904418428
ESPRESSO	10	81	0.24660940967278247	0.2516068475608359	0.3996296806751237	0.4190369380779083
ESPRESSO	10	84	0.22151879470988153	0.2258857750317054	0.3486725688455367	0.38765684861113214
ESPRESSO	10	87	0.20050234818768042	0.2034997572050937	0.3313141449421391	0.3643204322301312
ESPRESSO	10	90	0.21024034721238047	0.21253205036158282	0.311814799906657	0.3305937017388209
ESPRESSO	10	93	0.18198682619943424	0.1834408706100959	0.2786569585339032	0.29715569254003654
ESPRESSO	10	99	0.18670103093504062	0.18625990471120912	0.24734402580290046	0.2563390105196418
ESPRESSO	20	0	2.0	2.0	1.557553499476597	1.6482649629111215
ESPRESSO	20	3	2.0	2.0	1.5562278026750076	1.6568069918125885
ESPRESSO	20	6	2.0	2.0	1.5605869746630745	1.656611774761879
ESPRESSO	20	9	2.0	2.0	1.436676626492813	1.574553918076623
ESPRESSO	20	12	2.0	2.0	1.3473665868914038	1.5184969761479719
ESPRESSO	20	15	1.1798462891012422	2.0	1.2067975819386703	1.3943078754748428
ESPRESSO	20	18	1.1348527200012182	2.0	1.1768163896326784	1.3605857768813825
ESPRESSO	20	21	0.8841640572971123	2.0	1.1084043598693105	1.3111902452001138
ESPRESSO	20	24	0.9222049354633302	2.0	1.0796828623183605	1.3102518083164165
ESPRESSO	20	27	0.6876218392054548	1.2261641838693524	0.9587489756760964	1.20294141146368
ESPRESSO	20	30	0.6117000733980578	1.0888059754917836	0.9152517607692178	1.1594646218897517
ESPRESSO	20	33	0.5449694942549024	0.8415365981683673	0.854208668753547	1.0795762388109154
ESPRESSO	20	36	0.5022589907325496	0.7317545610064374	0.8084922538525776	1.0248687474943803
ESPRESSO	20	39	0.5131230909759955	0.7560276127397536	0.7956218987472718	1.0237304041717383
ESPRESSO	20	42	0.5242801748298577	0.6691138385574886	0.8009327047575241	0.9776159095184456
ESPRESSO	20	45	0.4623885256151944	0.5770200725895049	0.7003464704212523	0.8838754921012417
ESPRESSO	20	48	0.45102579042030405	0.5541021548479385	0.6916887636500899	0.8528193841548939
ESPRESSO	20	51	0.4461768126972805	0.557899859609683	0.6892072474604796	0.868339484560098
ESPRESSO	20	54	0.3944453632379515	0.4790476722080581	0.637820908742374	0.7555166241070945
ESPRESSO	20	57	0.3728941068299869	0.44203958175530567	0.5585382930414732	0.7051018840788482
ESPRESSO	20	60	0.3334057789298852	0.4171230122917346	0.5848731354755647	0.7163107164065077
ESPRESSO	20	63	0.3286991147391024	0.38660692088215826	0.5611245058011058	0.6775647528973808
ESPRESSO	20	66	0.3178807337849534	0.37695607368842204	0.5212154193143826	0.6360105574093585
ESPRESSO	20	69	0.29038701887136287	0.33505282397620173	0.4824005085430436	0.5932331817457478
ESPRESSO	20	72	0.2905533812172007	0.32234701711390024	0.4709466076347361	0.5476369148355906
ESPRESSO	20	75	0.2556180087907944	0.2839519793657092	0.44380991854556195	0.5140784566195742
ESPRESSO	20	78	0.24286261190591224	0.2640148088326765	0.4281717943089342	0.48126413390522055
ESPRESSO	20	81	0.24633131743286113	0.2636171336460279	0.4041313526168756	0.4514686378691947
ESPRESSO	20	84	0.2263563706245211	0.23299730079382283	0.3520877237553648	0.4058967055245298
ESPRESSO	20	87	0.20303225832251287	0.20991799866557542	0.32804429328902773	0.379399673418309
ESPRESSO	20	90	0.21637463951191974	0.22042960155423522	0.3132242830442082	0.3522986218786869
ESPRESSO	20	93	0.17951595366110346	0.18570165779458175	0.2675552666452047	0.3133215209935946
ESPRESSO	20	99	0.19069199648700655	0.1931426305725899	0.24994987067238542	0.2762306054725123
ESPRESSO	30	0	2.0	2.0	1.5803167977145405	1.7188038101387162
ESPRESSO	30	3	2.0	2.0	1.5612930603023552	1.7052892095125929
ESPRESSO	30	6	2.0	2.0	1.5693512624060193	1.7047510020802945
ESPRESSO	30	9	2.0	2.0	1.4508232960654657	1.637093042790222
ESPRESSO	30	12	2.0	2.0	1.3696790611680714	1.5858406765161543
ESPRESSO	30	15	1.237721906750779	2.0	1.23689950798217	1.4746456136183073
ESPRESSO	30	18	1.136467104748363	2.0	1.182124267556741	1.4592472641206287
ESPRESSO	30	21	0.8823116252409957	2.0	1.1051611096175162	1.4187401316764645
ESPRESSO	30	24	0.9414896636690159	2.0	1.0939192525094628	1.3981821173732363
ESPRESSO	30	27	0.7188640679938016	2.0	0.9632684868674952	1.3188164287463344
ESPRESSO	30	30	0.6485328888469877	2.0	0.920101850008158	1.3078697510049642
ESPRESSO	30	33	0.5712217211686679	1.3816416972523142	0.8763431052716855	1.2022630326887438
ESPRESSO	30	36	0.5343357552661222	1.1200805644597347	0.8427699072215854	1.158364284520466
ESPRESSO	30	39	0.5298115227240767	1.1783448860871946	0.8204686722341555	1.169198126917708
ESPRESSO	30	42	0.5321999236339647	0.9304787133347157	0.8070049637479939	1.1057245336120989
ESPRESSO	30	45	0.4760669106001413	0.7386206973174063	0.7249827381467273	1.0229903194674643
ESPRESSO	30	48	0.4853403291083455	0.6732057408800037	0.7128192885793078	0.9489009162006459
ESPRESSO	30	51	0.4491023679168785	0.6103532189470282	0.703576995917013	0.9150815886541505
ESPRESSO	30	54	0.3982065474525786	0.5730440082297923	0.6479958566585947	0.8679812837127132
ESPRESSO	30	57	0.39413249205552575	0.48917779040217924	0.5697238244769836	0.7599764754702419
ESPRESSO	30	60	0.344382002745224	0.4406007020804214	0.5809818924741919	0.7620272276377239
ESPRESSO	30	63	0.34308837509342405	0.4160739665199603	0.5666397221931714	0.7391812291449131
ESPRESSO	30	66	0.3540427481880285	0.4356587497191195	0.5348801099407103	0.7027158525060694
ESPRESSO	30	69	0.31320912627133807	0.3690171619883781	0.5006647055323014	0.6411605061291774
ESPRESSO	30	72	0.28980192901806967	0.341435570429799	0.4651066680325457	0.5891413868755155
ESPRESSO	30	75	0.2662599034078342	0.31933048158476907	0.44577030450310023	0.5741972364945798
ESPRESSO	30	78	0.26050198077649567	0.29053740990885996	0.43700982256658144	0.5178151824850586
ESPRESSO	30	81	0.25238733479548725	0.27218852342904315	0.41634724591315303	0.49349591557837796
ESPRESSO	30	84	0.22619482171784344	0.24377936649011117	0.3450968435619336	0.45192325937586436
