tool	ground_truth_percentile	TPR_annotated	TPR_unannotated	TPR_all	FDR_all	F1_all
Bambu + StringTie2	87	0.9924528301886792	0.5477386934673367	0.903420523138833	0.022850924918389554	0.9388395190799791
Bambu + StringTie2	90	0.9961685823754789	0.5523809523809524	0.9023162134944612	0.018619934282584884	0.9401888772298006
Bambu + StringTie2	93	0.995	0.5567010309278351	0.9094567404426559	0.012021857923497269	0.9470927187008905
Bambu + StringTie2	99	0.997539975399754	0.6022099447513812	0.9255533199195171	0.016042780748663103	0.9538621047174702
ESPRESSO + StringTie2	0	0.30930930930930933	0.0	0.20724346076458752	0.03286384976525822	0.34134217067108535
ESPRESSO + StringTie2	3	0.324812030075188	0.00303951367781155	0.21830985915492956	0.03125	0.3563218390804598
ESPRESSO + StringTie2	6	0.30383480825958703	0.006349206349206349	0.2094662638469285	0.028037383177570093	0.34465617232808615
ESPRESSO + StringTie2	9	0.39755351681957185	0.014705882352941176	0.2665995975855131	0.2471590909090909	0.3937592867756315
ESPRESSO + StringTie2	12	0.4444444444444444	0.008670520231213872	0.29275653923541245	0.22811671087533156	0.424507658643326
ESPRESSO + StringTie2	15	0.5334323922734027	0.025	0.36958710976837866	0.2464065708418891	0.49594594594594593
ESPRESSO + StringTie2	18	0.5800933125972006	0.03133903133903134	0.386317907444668	0.3298429319371728	0.4901084875558392
ESPRESSO + StringTie2	21	0.6253968253968254	0.030303030303030304	0.4078549848942598	0.16666666666666666	0.5476673427991886
ESPRESSO + StringTie2	24	0.6491228070175439	0.05722070844686648	0.4305835010060362	0.13360323886639677	0.5752688172043011
ESPRESSO + StringTie2	27	0.7136075949367089	0.058011049723756904	0.47484909456740443	0.14181818181818182	0.6113989637305699
ESPRESSO + StringTie2	30	0.7417763157894737	0.08311688311688312	0.486404833836858	0.1088560885608856	0.6293159609120521
ESPRESSO + StringTie2	33	0.759090909090909	0.1467065868263473	0.5533199195171026	0.15384615384615385	0.6690997566909975
ESPRESSO + StringTie2	36	0.7593167701863354	0.1977077363896848	0.5619335347432024	0.1294851794071763	0.6829865361077111
ESPRESSO + StringTie2	39	0.815831987075929	0.208	0.5865191146881288	0.12985074626865672	0.7007211538461539
ESPRESSO + StringTie2	42	0.7966360856269113	0.28823529411764703	0.6227364185110664	0.10549132947976879	0.734282325029656
ESPRESSO + StringTie2	45	0.8545454545454545	0.3633633633633634	0.6898288016112789	0.07681940700808626	0.7896253602305475
ESPRESSO + StringTie2	48	0.8771929824561403	0.45483870967741935	0.7454728370221329	0.05844980940279543	0.8321167883211679
ESPRESSO + StringTie2	51	0.8624260355029586	0.5173501577287066	0.7522658610271903	0.05919395465994962	0.8360380526021265
ESPRESSO + StringTie2	54	0.8801128349788434	0.5263157894736842	0.778672032193159	0.06067961165048544	0.8514851485148515
ESPRESSO + StringTie2	57	0.9424964936886395	0.604982206405694	0.8470824949698189	0.036613272311212815	0.9014989293361885
