tool	ground_truth_percentile	median_rel_diff_annotated	median_rel_diff_all
IsoQuant	57	0.2729797875342814	0.37081638090421726
IsoQuant	60	0.2043054874872387	0.2800168998129045
IsoQuant	63	0.21250438761313717	0.2501156913669929
IsoQuant	66	0.16392750436610654	0.20977494911995312
IsoQuant	69	0.1566943614571073	0.19592234773288747
IsoQuant	72	0.1555837301790737	0.17981883462184203
IsoQuant	75	0.14696711519944564	0.17451758517802882
IsoQuant	78	0.12944846380499156	0.15065618257005314
IsoQuant	81	0.12117922890023533	0.14399154534542208
IsoQuant	84	0.12798551305571482	0.14934666708956856
IsoQuant	87	0.11270203947042164	0.13640610214237486
IsoQuant	90	0.10425449940403765	0.1202015653378495
IsoQuant	93	0.09981181164684275	0.11606741804735382
IsoQuant	99	0.09613817175988665	0.10769340962239327
Isosceles	0	0.7054643076505885	1.233699860196741
Isosceles	3	0.7054643076505885	1.3713765305841672
Isosceles	6	0.7096491627251915	1.4253393767451181
Isosceles	9	0.7054643076505885	0.9776767090360705
Isosceles	12	0.6156746397577167	0.966658121880591
Isosceles	15	0.5398705388999117	0.770434088178263
Isosceles	18	0.5627965181683072	0.8833723754442198
Isosceles	21	0.4756943515959415	0.7758774526049314
Isosceles	24	0.4903221794773426	0.8088446099395303
Isosceles	27	0.430669172422176	0.7503579583552851
Isosceles	30	0.43081844695516197	0.6709440175151397
Isosceles	33	0.3992610679046375	0.6143232475831581
Isosceles	36	0.3359681075728017	0.5047956917782055
Isosceles	39	0.3408268564626212	0.5249516652104183
Isosceles	42	0.31732439030051734	0.4675805768393393
Isosceles	45	0.30405787779361054	0.41865613458197765
Isosceles	48	0.2795880676753262	0.40203019574091925
Isosceles	51	0.27963567004224743	0.39537452565065945
Isosceles	54	0.24552562013850074	0.32877180484262397
Isosceles	57	0.2586681854269247	0.3280859785219169
Isosceles	60	0.20665624539733096	0.2722384937628794
Isosceles	63	0.19919730371173255	0.24994081595145157
Isosceles	66	0.1782051447742703	0.23342397307244375
Isosceles	69	0.16323435360060767	0.2039124319438285
Isosceles	72	0.1650778482958887	0.19867041150898657
Isosceles	75	0.16084516644407246	0.19536551073318464
Isosceles	78	0.15505978982252297	0.18196635658120086
Isosceles	81	0.14667641042607246	0.17328430738160028
Isosceles	84	0.13219504688680367	0.15314677768547524
Isosceles	87	0.12867357728757645	0.14000233682505192
Isosceles	90	0.12157704792405906	0.14090419859793862
Isosceles	93	0.11831847453856087	0.1284480455941434
Isosceles	99	0.11709965207669595	0.12864244442307532
