tool	ground_truth_percentile	TPR_annotated	TPR_unannotated	TPR_all	FDR_all	F1_all
FLAIR	60	0.7700892857142857	0.27835051546391754	0.7220543806646526	0.19528619528619529	0.7611464968152867
FLAIR	63	0.7867403314917127	0.2696629213483146	0.7404426559356136	0.2	0.7690700104493208
FLAIR	66	0.7750556792873051	0.30526315789473685	0.730110775427996	0.19175027870680045	0.7671957671957672
FLAIR	69	0.789587852494577	0.3333333333333333	0.7565392354124748	0.20507399577167018	0.7752577319587629
FLAIR	72	0.7716186252771619	0.3804347826086957	0.7354124748490946	0.2045701849836779	0.7642446419236801
FLAIR	75	0.7862595419847328	0.2236842105263158	0.743202416918429	0.18811881188118812	0.7760252365930599
FLAIR	78	0.7445175438596491	0.25609756097560976	0.704225352112676	0.2374727668845316	0.7322175732217573
FLAIR	81	0.7189189189189189	0.22058823529411764	0.6847935548841894	0.23595505617977527	0.7222517259691981
FLAIR	84	0.7052401746724891	0.21794871794871795	0.6670020120724346	0.2793478260869565	0.6927899686520376
FLAIR	87	0.6487964989059081	0.25	0.6167002012072434	0.3248898678414097	0.6445846477392219
FLAIR	90	0.571583514099783	0.18309859154929578	0.5438066465256798	0.3579072532699168	0.5888767720828789
FLAIR	93	0.4519956850053937	0.208955223880597	0.43561368209255535	0.4654320987654321	0.48004434589800443
FLAIR	99	0.35660580021482274	0.09523809523809523	0.34004024144869216	0.5511288180610889	0.386949055523755
FLAIR + StringTie2	0	0.11672278338945005	0.11650485436893204	0.11670020120724346	0.0	0.209009009009009
FLAIR + StringTie2	3	0.11399548532731377	0.027777777777777776	0.10462776659959759	0.0	0.1894353369763206
FLAIR + StringTie2	6	0.10923423423423423	0.06666666666666667	0.10473313192346426	0.0	0.18960802187784867
FLAIR + StringTie2	9	0.2062780269058296	0.13725490196078433	0.19919517102615694	0.014925373134328358	0.3313807531380753
FLAIR + StringTie2	12	0.24773755656108598	0.10909090909090909	0.2323943661971831	0.01282051282051282	0.3762214983713355
FLAIR + StringTie2	15	0.34062140391254314	0.14516129032258066	0.3162134944612286	0.459552495697074	0.39898348157560354
FLAIR + StringTie2	18	0.3981797497155859	0.10434782608695652	0.3641851106639839	0.35701598579040855	0.46499678869621064
