tpm_bulk	tpm_pseudobulk	status
665.9217372656576	799.8281064008307	Correct vs Decoy
225.73618212395172	1524.8802762918208	Correct vs Correct
225.73618212395172	80.18704020200843	Correct vs Decoy
225.73618212395172	262.2521166033368	Correct vs Decoy
79.00766374338312	185.45841198143768	Correct vs Correct
79.00766374338312	1382.0472223052045	Correct vs Decoy
79.00766374338312	6.53587829541026	Correct vs Decoy
13657.03901849908	6701.230619595948	Correct vs Correct
13657.03901849908	9845.7107008819	Correct vs Decoy
13657.03901849908	3356.9904894800957	Correct vs Decoy
1162.5413379383513	1804.0982187749853	Correct vs Correct
1162.5413379383513	333.3265200554076	Correct vs Decoy
1162.5413379383513	740.188216955212	Correct vs Decoy
451.47236424790344	332.79481705557987	Correct vs Correct
451.47236424790344	463.04084979395077	Correct vs Decoy
451.47236424790344	1127.43900595827	Correct vs Decoy
7257.418255285048	11253.204309229235	Correct vs Correct
7257.418255285048	7769.49527761225	Correct vs Decoy
7257.418255285048	3682.1504346767565	Correct vs Decoy
1941.331166265985	1548.5777400450047	Correct vs Correct
1941.331166265985	205.9706326757472	Correct vs Decoy
1941.331166265985	1575.146669193873	Correct vs Decoy
1185.1149561507464	995.2934776337155	Correct vs Correct
1185.1149561507464	2283.758350851319	Correct vs Decoy
1185.1149561507464	259.80116224255784	Correct vs Decoy
6456.054808745019	9586.139250418311	Correct vs Correct
6456.054808745019	6426.755427955089	Correct vs Decoy
6456.054808745019	9225.392213971583	Correct vs Decoy
1952.6179753721824	1240.5107112536166	Correct vs Correct
1952.6179753721824	29.873603212512954	Correct vs Decoy
1952.6179753721824	56.37195029791351	Correct vs Decoy
1343.1302836375128	1523.849951780813	Correct vs Correct
1343.1302836375128	360.05553345607717	Correct vs Decoy
1343.1302836375128	569.4383964876191	Correct vs Decoy
11.286809106197586	83.45628539164694	Correct vs Correct
11.286809106197586	1.5722949059217346	Correct vs Decoy
11.286809106197586	1239.3659217671707	Correct vs Decoy
440.1855551417059	1348.6947849094552	Correct vs Correct
440.1855551417059	86.47621982569538	Correct vs Decoy
440.1855551417059	334.96376263977584	Correct vs Decoy
112.86809106197586	627.467627203864	Correct vs Correct
112.86809106197586	0	Correct vs Decoy
112.86809106197586	611.9216054077858	Correct vs Decoy
135.44170927437102	190.6100345364776	Correct vs Correct
135.44170927437102	1653.2680935767037	Correct vs Decoy
135.44170927437102	255.71623830792646	Correct vs Decoy
519.1932188850889	597.5882163846325	Correct vs Correct
519.1932188850889	1165.0705252880055	Correct vs Decoy
519.1932188850889	1531.0294906998538	Correct vs Decoy
191.87575480535898	124.66926583196646	Correct vs Correct
191.87575480535898	819.1656459852236	Correct vs Decoy
191.87575480535898	14.705726164673088	Correct vs Decoy
282.17022765493965	414.1904534252108	Correct vs Correct
282.17022765493965	792.4366325845542	Correct vs Decoy
282.17022765493965	1115.1842341543759	Correct vs Decoy
56.43404553098793	106.12342463382267	Correct vs Correct
56.43404553098793	1395.4117290055392	Correct vs Decoy
56.43404553098793	533.4910658628626	Correct vs Decoy
203.16256391155656	1349.7251094204632	Correct vs Correct
203.16256391155656	625.7733725568503	Correct vs Decoy
203.16256391155656	2320.2367948706433	Correct vs Decoy
214.44937301775417	438.91824168940246	Correct vs Correct
214.44937301775417	829.3855628737149	Correct vs Decoy
214.44937301775417	2431.346725892617	Correct vs Decoy
4322.847887673675	7666.644686410432	Correct vs Correct
4322.847887673675	20710.26850080109	Correct vs Decoy
4322.847887673675	6212.352319787454	Correct vs Decoy
22.57361821239517	211.21652475663737	Correct vs Correct
22.57361821239517	311.3143913725034	Correct vs Decoy
22.57361821239517	571.0723660614717	Correct vs Decoy
643.3481190532623	1385.7864673057427	Correct vs Correct
643.3481190532623	334.11266750836853	Correct vs Decoy
643.3481190532623	160.9460030244777	Correct vs Decoy
2200.9277757085297	3774.078683822256	Correct vs Correct
2200.9277757085297	8604.383872656692	Correct vs Decoy
2200.9277757085297	2240.172285751867	Correct vs Decoy
496.61960067269376	1290.9966122930077	Correct vs Correct
496.61960067269376	1170.573557458731	Correct vs Decoy
496.61960067269376	138.07042899054179	Correct vs Decoy
0	17.515516687135783	Correct vs Correct
0	59.74720642502591	Correct vs Decoy
0	1004.8912879193276	Correct vs Decoy
1941.331166265985	1477.4853487854534	Correct vs Correct
1941.331166265985	1265.6973992669964	Correct vs Decoy
1941.331166265985	1561.257927816126	Correct vs Decoy
